measured_at,repo,stars,pushed_days,user_issues_30d
2026-09-13T09:29:09.056841+00:00,anthropics/claude-code,144886,0,97
2026-09-13T09:29:09.056841+00:00,openai/codex,123709,0,87
2026-09-13T09:29:09.056841+00:00,anomalyco/opencode,206999,0,56
2026-09-13T09:29:09.056841+00:00,cline/cline,67909,0,30
2026-09-13T09:29:09.056841+00:00,google-gemini/gemini-cli,106947,0,30
2026-09-13T09:29:09.056841+00:00,openclaw/openclaw,389558,0,28
2026-09-13T09:29:09.056841+00:00,earendil-works/pi,104508,0,77
2026-09-13T09:29:09.056841+00:00,Aider-AI/aider,48922,113,58
2026-09-13T09:29:09.056841+00:00,All-Hands-AI/OpenHands,87715,0,9
2026-09-13T09:29:09.056841+00:00,block/goose,54187,1,38
2026-09-13T09:29:09.056841+00:00,langchain-ai/langgraph,41548,0,40
2026-09-13T09:29:09.056841+00:00,pydantic/pydantic-ai,19895,0,40
2026-09-13T09:29:09.056841+00:00,mastra-ai/mastra,27991,0,36
2026-09-13T09:29:09.056841+00:00,openai/openai-agents-python,29396,1,16
2026-09-13T09:29:09.056841+00:00,google/adk-python,21519,0,35
2026-09-13T09:29:09.056841+00:00,crewAIInc/crewAI,58435,1,32
2026-09-13T09:29:09.056841+00:00,microsoft/autogen,60957,150,6
2026-09-13T09:29:09.056841+00:00,agno-agi/agno,42149,0,21
2026-09-13T09:29:09.056841+00:00,vercel/ai,26713,0,14
2026-09-13T09:29:09.056841+00:00,microsoft/agent-framework,13498,1,28
2026-09-13T09:29:09.056841+00:00,temporalio/temporal,22994,0,4
2026-09-13T09:29:09.056841+00:00,dapr/dapr-agents,743,2,13
2026-09-13T09:29:09.056841+00:00,restatedev/restate,4409,1,18
2026-09-13T09:29:09.056841+00:00,inngest/inngest,5828,0,2
2026-09-13T09:29:09.056841+00:00,fastagent-sh/fastagent,62,0,0
2026-09-13T09:29:09.056841+00:00,langflow-ai/langflow,154698,0,14
2026-09-13T09:29:09.056841+00:00,langgenius/dify,155569,0,35
2026-09-13T09:29:09.056841+00:00,mem0ai/mem0,65211,1,39
2026-09-13T09:29:09.056841+00:00,letta-ai/letta,24718,2,7
2026-09-13T09:29:09.056841+00:00,getzep/zep,4912,1,0
2026-09-13T09:29:09.056841+00:00,topoteretes/cognee,30657,0,14
2026-09-13T09:29:09.056841+00:00,thedotmack/claude-mem,93769,0,12
2026-09-13T09:29:09.056841+00:00,modelcontextprotocol/servers,90285,10,22
2026-09-13T09:29:09.056841+00:00,modelcontextprotocol/python-sdk,24277,2,28
2026-09-13T09:29:09.056841+00:00,e2b-dev/E2B,13772,0,12
2026-09-13T09:29:09.056841+00:00,browser-use/browser-use,114422,1,17
